player_id,game_count,total_profit,avg_roi_%,avg_stake
Albert Moreno,15,-65,-8.5,51.0
Albert Ortiz,1,-51,-100.0,51.0
Albert Patterson,2,-102,-100.0,51.0
Albert Shepard,1,49,96.08,51.0
Albert Thomas,5,-55,-21.57,51.0
Alec Garza,13,-63,-9.5,51.0
Alec Payne,27,-377,-27.38,51.0
Alejandra Caldwell,11,-61,-10.87,51.0
Alejandra Duran,29,21,1.42,51.0
Alejandra Edwards,1,-51,-100.0,51.0
Alejandra Evans,4,-4,-1.96,51.0
Alejandro Foster,1,49,96.08,51.0
Alejandro Gillespie,13,-163,-24.59,51.0
Alejandro Mitchell,13,-163,-24.59,51.0
Alejandro Nunez,2,-2,-1.96,51.0
Alejandro Rivera,25,-75,-5.88,51.0
Alejandro Shah,1,49,96.08,51.0
Alejandro Waters,3,-53,-34.64,51.0
Alex Berry,1,-51,-100.0,51.0
Alex Charles,3,-53,-34.64,51.0
Alex Davis,2,-102,-100.0,51.0
Alex Figueroa,11,-61,-10.87,51.0
Alex Flores,2,-2,-1.96,51.0
Alex Green,1,49,96.08,51.0
Alex Hutchinson,78,122,3.07,51.0
Alex Lucero,315,-1065,-6.63,51.0
Alex Martin,1,-51,-100.0,51.0
Alex Montoya,1,-51,-100.0,51.0
Alex Morgan,3,47,30.72,51.0
Alex Norris,2,-102,-100.0,51.0
Alex Patel,4,-104,-50.98,51.0
Alex Pope,2,-2,-1.96,51.0
Alex Smith,33,-583,-34.64,51.0
Alex Thompson,11,139,24.78,51.0
Alex Vega,1,-51,-100.0,51.0
Alexa Collins,1,49,96.08,51.0
Alexa Garcia,1,-51,-100.0,51.0
Alexa Mueller,2,-2,-1.96,51.0
Alexa Nichols,55,-905,-32.26,51.0
Alexa Rodriguez,16,84,10.29,51.0
Alexa Skinner,1,49,96.08,51.0
Alexa Smith,25,-175,-13.73,51.0
Alexa Tanner,10,-110,-21.57,51.0
Alexander Allen,20,-20,-1.96,51.0
Alexander Barrett,2,-2,-1.96,51.0
Alexander Bernard,21,-271,-25.3,51.0
Alexander Brown,1,49,96.08,51.0
Alexander Burns,5,-255,-100.0,51.0
Alexander Campbell,1,-51,-100.0,51.0
Alexander Casey MD,1,-51,-100.0,51.0
Alexander Conway,13,-63,-9.5,51.0
Alexander Cooper,11,39,6.95,51.0
Alexander Delacruz,9,-159,-34.64,51.0
Alexander Dudley,1,-51,-100.0,51.0
Alexander Ellis,2,-102,-100.0,51.0
Alexander Fuentes,1,-51,-100.0,51.0
Alexander Gonzalez,2,-102,-100.0,51.0
Alexander Hanson,62,-62,-1.96,51.0
Alexander Henderson,1,-51,-100.0,51.0
Alexander Henry,23,-73,-6.22,51.0
Alexander Hicks,1,49,96.08,51.0
Alexander Hicks Jr.,21,129,12.04,51.0
Alexander Hoffman DDS,35,-285,-15.97,51.0
Alexander Lopez,5,-55,-21.57,51.0
Alexander Marks,23,-273,-23.27,51.0
Alexander Mata,1,49,96.08,51.0
Alexander Mcmillan,81,-231,-5.59,51.0
Alexander Miller,1,-51,-100.0,51.0
Alexander Nguyen,1,-51,-100.0,51.0
Alexander Pena,2,-102,-100.0,51.0
Alexander Ramsey,4,-4,-1.96,51.0
Alexander Rich,3,47,30.72,51.0
Alexander Roberts,2,98,96.08,51.0
Alexander Rodgers,1,-51,-100.0,51.0
Alexander Rodriguez,41,-291,-13.92,51.0
Alexander Sanchez,17,33,3.81,51.0
Alexander Simmons,89,-239,-5.27,51.0
Alexander Stuart,2,-102,-100.0,51.0
Alexander Taylor,1,49,96.08,51.0
Alexander Thomas,4,-4,-1.96,51.0
Alexander Villanueva,2,98,96.08,51.0
Alexander Walker,1,-51,-100.0,51.0
Alexandra Anderson,1,-51,-100.0,51.0
Alexandra Bennett,2,-2,-1.96,51.0
Alexandra Berg,3,147,96.08,51.0
Alexandra Brooks,12,-12,-1.96,51.0
Alexandra Brown,16,84,10.29,51.0
Alexandra Campbell,16,84,10.29,51.0
Alexandra Cardenas,4,-104,-50.98,51.0
Alexandra Castro,4,-4,-1.96,51.0
Alexandra Davidson,2,-2,-1.96,51.0
Alexandra Davis,39,-389,-19.56,51.0
Alexandra Fry,1,-51,-100.0,51.0
Alexandra Green,1,-51,-100.0,51.0
Alexandra Harris,1,-51,-100.0,51.0
Alexandra Jackson,7,43,12.04,51.0
Alexandra Lewis,5,-155,-60.78,51.0
Alexandra Marsh,29,-579,-39.15,51.0
Alexandra Mckay,2,-2,-1.96,51.0
Alexandra Neal,12,-412,-67.32,51.0
Alexandra Nunez,1,-51,-100.0,51.0
Alexandra Peterson,6,94,30.72,51.0
Alexandra Pitts,1,-51,-100.0,51.0
Alexandra Quinn,1,-51,-100.0,51.0
Alexandra Rosario DDS,44,156,6.95,51.0
Alexandra Rowland,51,-501,-19.26,51.0
Alexandra Smith,1,-51,-100.0,51.0
Alexandra Snyder,4,-4,-1.96,51.0
Alexandra Stevens,21,-171,-15.97,51.0
Alexandra Taylor,1,-51,-100.0,51.0
Alexandra Thomas,5,45,17.65,51.0
Alexandra Torres,1,-51,-100.0,51.0
Alexandra Weaver,1,-51,-100.0,51.0
Alexandria Brown,1,-51,-100.0,51.0
Alexandria Bryan,6,-106,-34.64,51.0
Alexandria Carr,1,49,96.08,51.0
Alexandria Chen,25,25,1.96,51.0
Alexandria Collins,3,-53,-34.64,51.0
Alexandria Cortez,13,-363,-54.75,51.0
Alexandria Estrada,7,43,12.04,51.0
Alexandria Hill,1,-51,-100.0,51.0
Alexandria Mosley,3,-53,-34.64,51.0
Alexandria Rodriguez,1,-51,-100.0,51.0
Alexandria Ward DDS,10,-10,-1.96,51.0
Alexis Baker,20,-220,-21.57,51.0
Alexis Beasley,1,-51,-100.0,51.0
Alexis Bryan,35,-285,-15.97,51.0
Alexis Clark,2,-2,-1.96,51.0
Alexis Cohen,3,-53,-34.64,51.0
Alexis Davis,1,49,96.08,51.0
Alexis Evans,1,-51,-100.0,51.0
Alexis Fisher,44,-644,-28.7,51.0
Alexis Gibson,13,37,5.58,51.0
Alexis Hall,662,-1562,-4.63,51.0
Alexis Hardin,2,-102,-100.0,51.0
Alexis Hoover,6,-6,-1.96,51.0
Alexis Johnson,1,49,96.08,51.0
Alexis Juarez,8,-8,-1.96,51.0
Alexis Kaufman,1,-51,-100.0,51.0
Alexis Kline,2,-2,-1.96,51.0
Alexis Krause,1,-51,-100.0,51.0
Alexis Lopez,30,-230,-15.03,51.0
Alexis Mcconnell,20,-220,-21.57,51.0
Alexis Murray,1,49,96.08,51.0
Alexis Ruiz,1,-51,-100.0,51.0
Alexis Schneider,6,-106,-34.64,51.0
Alexis Schwartz,2,-102,-100.0,51.0
Alexis Velazquez,201,49,0.48,51.0
Alexis Watson,5,45,17.65,51.0
Alfred Buck,32,-132,-8.09,51.0
Alfred Clark,25,225,17.65,51.0
Alfred Garcia,6,94,30.72,51.0
Alfred Thomas,1,-51,-100.0,51.0
Alice Barnes,2,-102,-100.0,51.0
Alice Bradley,2,-2,-1.96,51.0
Alice Hart,28,72,5.04,51.0
Alice Kelly,6,-6,-1.96,51.0
Alicia Alexander,1,-51,-100.0,51.0
Alicia Banks,1,49,96.08,51.0
Alicia Bolton,7,43,12.04,51.0
Alicia Boyer,1,-51,-100.0,51.0
Alicia Burton,19,131,13.52,51.0
Alicia Clarke,3,47,30.72,51.0
Alicia Decker,1,-51,-100.0,51.0
Alicia Freeman,1,-51,-100.0,51.0
Alicia Hall,14,-214,-29.97,51.0
Alicia Hamilton,2,98,96.08,51.0
Alicia Hernandez,15,-465,-60.78,51.0
Alicia Holland,9,-159,-34.64,51.0
Alicia Howard,5,-55,-21.57,51.0
Alicia Mack,485,-2035,-8.23,51.0
Alicia Nelson,3,-53,-34.64,51.0
Alicia Russo,1,49,96.08,51.0
Alicia Scott,1,-51,-100.0,51.0
Alicia Sims,2,-102,-100.0,51.0
Alicia Small,1,-51,-100.0,51.0
Alicia Stephens,1,49,96.08,51.0
Alicia Strong,2,98,96.08,51.0
Alicia Taylor,3,-53,-34.64,51.0
Alicia Thompson,3,47,30.72,51.0
Alicia Williams,4,-4,-1.96,51.0
Alicia Wright,1,-51,-100.0,51.0
Alisha Frank,17,-367,-42.33,51.0
Alisha Klein,1,49,96.08,51.0
Alisha Mullins,4,-4,-1.96,51.0
Alisha Phillips,11,239,42.6,51.0
Alison Carr,1,-51,-100.0,51.0
Alison Griffin,2,-102,-100.0,51.0
Alison Hawkins,1,49,96.08,51.0
Alison Ingram,1,-51,-100.0,51.0
Alison Mason,1,-51,-100.0,51.0
Alison Montoya,2,-2,-1.96,51.0
Alison Morgan,7,-157,-43.98,51.0
Alison Reynolds,6,-206,-67.32,51.0
Alison Sanders,2,-102,-100.0,51.0
Alison Santos,1,49,96.08,51.0
Alison Velazquez,8,-8,-1.96,51.0
Alison Walker,2,-102,-100.0,51.0
Alison York,1,-51,-100.0,51.0
Allen Bell,2,98,96.08,51.0
Allen Crawford,2,-102,-100.0,51.0
Allen Gilmore,1,-51,-100.0,51.0
Allen Hardin,11,139,24.78,51.0
Allen Leonard,3,-53,-34.64,51.0
Allen Mercado,1,-51,-100.0,51.0
Allen Murphy,5,45,17.65,51.0
Allen Rodriguez,15,-265,-34.64,51.0
Allen Stark,1,-51,-100.0,51.0
Allen Wright,1,49,96.08,51.0
Allison Bailey,1,49,96.08,51.0
Allison Barnett,2,98,96.08,51.0
Allison Berry,3,-53,-34.64,51.0
Allison Brown,3,-53,-34.64,51.0
Allison Burgess,3,147,96.08,51.0
Allison Caldwell,2,-2,-1.96,51.0
Allison Carlson,1,-51,-100.0,51.0
Allison Carr,6,-106,-34.64,51.0
Allison Castro,7,-57,-15.97,51.0
Allison Chase,2,-102,-100.0,51.0
Allison Chen,20,-120,-11.76,51.0
Allison Downs,1,49,96.08,51.0
Allison Flores,1,-51,-100.0,51.0
Allison Howell,5,-55,-21.57,51.0
Allison Jones,1,49,96.08,51.0
Allison Livingston,1,-51,-100.0,51.0
Allison Lopez,65,-115,-3.47,51.0
Allison Mcintyre,3,47,30.72,51.0
Allison Moore,40,-240,-11.76,51.0
Allison Nelson,1,49,96.08,51.0
Allison Reed,3,-53,-34.64,51.0
Allison Rodriguez,87,-137,-3.09,51.0
Allison Silva,3,-53,-34.64,51.0
Allison Simmons,10,-210,-41.18,51.0
Allison Smith,10,-410,-80.39,51.0
Allison Taylor,1,-51,-100.0,51.0
Allison Terrell,2,-2,-1.96,51.0
Allison Thomas,2,-2,-1.96,51.0
Allison Walls,7,43,12.04,51.0
Allison Webb,2,-2,-1.96,51.0
Alvin Torres,1,-51,-100.0,51.0
Alyssa Anderson,15,235,30.72,51.0
Alyssa Boyd,2,-2,-1.96,51.0
Alyssa Cantu,3,-53,-34.64,51.0
Alyssa Carey,2,-2,-1.96,51.0
Alyssa Castillo,3,47,30.72,51.0
Alyssa Davis,1,-51,-100.0,51.0
Alyssa Farrell,5,45,17.65,51.0
Alyssa Gilbert,1,-51,-100.0,51.0
Alyssa Guzman,2,-102,-100.0,51.0
Alyssa Hall,1,49,96.08,51.0
Alyssa Hicks,2,-2,-1.96,51.0
Alyssa Hill,1,-51,-100.0,51.0
Alyssa Huerta,1128,-328,-0.57,51.0
Alyssa Lane,1,-51,-100.0,51.0
Alyssa Matthews,2,-102,-100.0,51.0
Alyssa Mcdonald,1,49,96.08,51.0
Alyssa Miller MD,2,-2,-1.96,51.0
Alyssa Moran,1,-51,-100.0,51.0
Alyssa Morris,1,-51,-100.0,51.0
Alyssa Parsons,25,-175,-13.73,51.0
Alyssa Powers,3,-53,-34.64,51.0
Alyssa Price,1,-51,-100.0,51.0
Alyssa Pugh,2,-102,-100.0,51.0
Alyssa Robinson,3,47,30.72,51.0
Alyssa Rodriguez,1,49,96.08,51.0
Alyssa Russell,1,-51,-100.0,51.0
Alyssa Smith,1,-51,-100.0,51.0
Alyssa Strickland,1,49,96.08,51.0
Alyssa Thomas,5,-55,-21.57,51.0
Alyssa Thompson,10,90,17.65,51.0
Alyssa Wallace,61,-1011,-32.5,51.0
Alyssa Williams,25,25,1.96,51.0
Amanda Adams,2,-2,-1.96,51.0
Amanda Anderson,3,47,30.72,51.0
Amanda Brown,5,45,17.65,51.0
Amanda Byrd,6,94,30.72,51.0
Amanda Camacho,1,49,96.08,51.0
Amanda Campbell,3,-53,-34.64,51.0
Amanda Castro,5,45,17.65,51.0
Amanda Chavez,2,98,96.08,51.0
Amanda Clark,10,-210,-41.18,51.0
Amanda Cox,1,-51,-100.0,51.0
Amanda Cruz,9,-159,-34.64,51.0
Amanda Cummings,4,-104,-50.98,51.0
Amanda Davies,3,-53,-34.64,51.0
Amanda Diaz,4,-104,-50.98,51.0
Amanda Dominguez,1,-51,-100.0,51.0
Amanda Douglas,2,-2,-1.96,51.0
Amanda Duke,1,49,96.08,51.0
Amanda Edwards,3,47,30.72,51.0
Amanda Erickson DDS,7,143,40.06,51.0
Amanda Espinoza,49,-199,-7.96,51.0
Amanda Garcia,7,143,40.06,51.0
Amanda Gardner,30,-130,-8.5,51.0
Amanda Garrett,11,-161,-28.7,51.0
Amanda Garza,9,-59,-12.85,51.0
Amanda Glover,1,49,96.08,51.0
Amanda Gray,12,-312,-50.98,51.0
Amanda Harding,11,-261,-46.52,51.0
Amanda Harris,1,49,96.08,51.0
Amanda Haynes,1,49,96.08,51.0
Amanda Henderson,9,41,8.93,51.0
Amanda Hernandez,30,-30,-1.96,51.0
Amanda Hoffman,11,-161,-28.7,51.0
Amanda Jenkins,38,162,8.36,51.0
Amanda Jones,1,49,96.08,51.0
Amanda Lambert,5,-155,-60.78,51.0
Amanda Lawrence,3,-153,-100.0,51.0
Amanda Lawson,7,-157,-43.98,51.0
Amanda Lozano MD,1,-51,-100.0,51.0
Amanda Mann,9,141,30.72,51.0
Amanda Martin,2,-2,-1.96,51.0
Amanda Martinez,1,-51,-100.0,51.0
Amanda May,2,-2,-1.96,51.0
Amanda Mcbride,1,-51,-100.0,51.0
Amanda Mcdonald,3,-153,-100.0,51.0
Amanda Meyer,1,-51,-100.0,51.0
Amanda Molina,2,-2,-1.96,51.0
Amanda Moreno,1,49,96.08,51.0
Amanda Moss,1,49,96.08,51.0
Amanda Moyer,1,-51,-100.0,51.0
Amanda Mullen,22,78,6.95,51.0
Amanda Murphy,16,-16,-1.96,51.0
Amanda Myers,1,-51,-100.0,51.0
Amanda Nixon,2,98,96.08,51.0
Amanda Odonnell,1,-51,-100.0,51.0
Amanda Orozco,9,-259,-56.43,51.0
Amanda Parks,1,49,96.08,51.0
Amanda Pena,1,-51,-100.0,51.0
Amanda Perez,23,-273,-23.27,51.0
Amanda Peterson,9,41,8.93,51.0
Amanda Ramirez,1,49,96.08,51.0
Amanda Ray,6,-6,-1.96,51.0
Amanda Reed,11,-461,-82.17,51.0
Amanda Reeves,1,49,96.08,51.0
Amanda Rivas,5,-55,-21.57,51.0
Amanda Rodgers,71,-121,-3.34,51.0
Amanda Ross,1,-51,-100.0,51.0
Amanda Ruiz,2,-102,-100.0,51.0
Amanda Salas,7,-57,-15.97,51.0
Amanda Sanders,12,-412,-67.32,51.0
Amanda Sandoval,2,-2,-1.96,51.0
Amanda Schultz,13,37,5.58,51.0
Amanda Schwartz,21,-271,-25.3,51.0
Amanda Smith,6,94,30.72,51.0
Amanda Stokes,6,-6,-1.96,51.0
Amanda Stone,1,49,96.08,51.0
Amanda Stuart,117,233,3.9,51.0
Amanda Taylor,1,-51,-100.0,51.0
Amanda Thompson,1,49,96.08,51.0
Amanda Valdez,1,-51,-100.0,51.0
Amanda Wade,21,-371,-34.64,51.0
Amanda Walls,1,-51,-100.0,51.0
Amanda Watts,1,-51,-100.0,51.0
Amanda Weaver,2,-2,-1.96,51.0
Amanda White,11,-261,-46.52,51.0
Amanda Williams,5,-55,-21.57,51.0
Amanda Willis,1,-51,-100.0,51.0
Amanda Wilson,1,49,96.08,51.0
Amber Anderson,2,-102,-100.0,51.0
Amber Anderson MD,1,-51,-100.0,51.0
Amber Arnold,1,49,96.08,51.0
Amber Bell,2,-102,-100.0,51.0
Amber Braun,8,-208,-50.98,51.0
Amber Browning,1,-51,-100.0,51.0
Amber Carter,14,-14,-1.96,51.0
Amber Castro,122,-822,-13.21,51.0
Amber Crawford,1,49,96.08,51.0
Amber Downs,1,49,96.08,51.0
Amber Ferguson,1,-51,-100.0,51.0
Amber Fisher,11,39,6.95,51.0
Amber Fitzpatrick,8,-8,-1.96,51.0
Amber Gibson,2,-2,-1.96,51.0
Amber Gonzalez DDS,2,-102,-100.0,51.0
Amber Gould,12,-212,-34.64,51.0
Amber Hall,4,-4,-1.96,51.0
Amber Harmon,9,41,8.93,51.0
Amber Harris,1,-51,-100.0,51.0
Amber Hayes,3,47,30.72,51.0
Amber Jackson,1,-51,-100.0,51.0
Amber Jacobs,17,-167,-19.26,51.0
Amber Jensen,8,-108,-26.47,51.0
Amber Johnson,2,-102,-100.0,51.0
Amber Lee,29,-279,-18.86,51.0
Amber Love,1,-51,-100.0,51.0
Amber Mccormick,12,-112,-18.3,51.0
Amber Morgan,1,-51,-100.0,51.0
Amber Newman,2,98,96.08,51.0
Amber Nguyen,9,-59,-12.85,51.0
Amber Osborne,4,96,47.06,51.0
Amber Pierce,3,-53,-34.64,51.0
Amber Powell,7,-157,-43.98,51.0
Amber Price,8,-108,-26.47,51.0
Amber Ramirez,2,-102,-100.0,51.0
Amber Richardson,68,-568,-16.38,51.0
Amber Riddle,3,-53,-34.64,51.0
Amber Robertson,89,-339,-7.47,51.0
Amber Robinson,1,49,96.08,51.0
Amber Ross,3,-153,-100.0,51.0
Amber Sweeney,2,98,96.08,51.0
Amber Taylor,5,-155,-60.78,51.0
Amber Travis,10,-110,-21.57,51.0
Amber Wade,2,-102,-100.0,51.0
Amber Walters,4,-104,-50.98,51.0
Amber Wells,3,-53,-34.64,51.0
Amber Williams,4,-104,-50.98,51.0
Amber Wright,5,-55,-21.57,51.0
Amy Adams,2,-2,-1.96,51.0
Amy Baker,5,-55,-21.57,51.0
Amy Baldwin MD,16,84,10.29,51.0
Amy Bell,18,182,19.83,51.0
Amy Bentley,1,49,96.08,51.0
Amy Berry,1,-51,-100.0,51.0
Amy Bond,1,-51,-100.0,51.0
Amy Brown,2,98,96.08,51.0
Amy Burnett,1,49,96.08,51.0
Amy Burns,1,49,96.08,51.0
Amy Carter,82,-882,-21.09,51.0
Amy Collins,7,43,12.04,51.0
Amy Cook,8,-108,-26.47,51.0
Amy Cooley,1,49,96.08,51.0
Amy Costa,85,-835,-19.26,51.0
Amy Cox,41,9,0.43,51.0
Amy Craig,8,-8,-1.96,51.0
Amy Cummings,3,-53,-34.64,51.0
Amy Davis,1,-51,-100.0,51.0
Amy Dean,1,-51,-100.0,51.0
Amy Farmer,4,-104,-50.98,51.0
Amy Faulkner,1,-51,-100.0,51.0
Amy Fowler,1,-51,-100.0,51.0
Amy Garcia,44,-444,-19.79,51.0
Amy Grant,1,-51,-100.0,51.0
Amy Graves,5,-55,-21.57,51.0
Amy Green,5,-55,-21.57,51.0
Amy Hall,3,47,30.72,51.0
Amy Hanson,1,49,96.08,51.0
Amy Hardy,1,49,96.08,51.0
Amy Hess,6,94,30.72,51.0
Amy Hunter,1,-51,-100.0,51.0
Amy Jennings,1,-51,-100.0,51.0
Amy Johnson,12,88,14.38,51.0
Amy Jones,4,-4,-1.96,51.0
Amy Kelly,1,-51,-100.0,51.0
Amy Khan,6,-206,-67.32,51.0
Amy Kline,1,-51,-100.0,51.0
Amy Lam,96,104,2.12,51.0
Amy Lamb,1,49,96.08,51.0
Amy Lambert,1,-51,-100.0,51.0
Amy Larsen,128,-728,-11.15,51.0
Amy Lawrence,1,-51,-100.0,51.0
Amy Livingston,2,-2,-1.96,51.0
Amy Long,1,49,96.08,51.0
Amy Lopez,1,-51,-100.0,51.0
Amy Marshall,1,-51,-100.0,51.0
Amy Martinez,3,147,96.08,51.0
Amy Mason,1,-51,-100.0,51.0
Amy Mayer,3,47,30.72,51.0
Amy Mcbride,1,-51,-100.0,51.0
Amy Mccarty,52,-152,-5.73,51.0
Amy Mcguire,24,-424,-34.64,51.0
Amy Mejia,2,-102,-100.0,51.0
Amy Mendoza,26,-326,-24.59,51.0
Amy Miller,1,-51,-100.0,51.0
Amy Montoya,5,-55,-21.57,51.0
Amy Moore,6,-106,-34.64,51.0
Amy Nguyen,11,-161,-28.7,51.0
Amy Norris,2,-102,-100.0,51.0
Amy Nunez,3,-153,-100.0,51.0
Amy Obrien,1,-51,-100.0,51.0
Amy Oconnor,28,72,5.04,51.0
