,player_id,game_count,total_profit,avg_roi_%,avg_stake,games_per_hour,is_reg
43,Abigail Garrett,1,-51,-100.0,51.0,1.0,0
44,Abigail Garrison,17,-267,-30.8,51.0,2.8333333333333335,0
45,Abigail Grant,69,-419,-11.91,51.0,4.3125,0
46,Abigail Hernandez,2,98,96.08,51.0,2.0,0
47,Abigail Jacobson,256,-256,-1.96,51.0,3.764705882352941,0
48,Abigail Keith,1,49,96.08,51.0,1.0,0
49,Abigail King,7,-57,-15.97,51.0,1.4,0
50,Abigail Moore,1,49,96.08,51.0,1.0,0
51,Abigail Nguyen,480,520,2.12,51.0,3.6923076923076925,0
52,Abigail Riley,1,-51,-100.0,51.0,1.0,0
53,Abigail Rivera,7,-157,-43.98,51.0,1.75,0
54,Abigail Rodriguez,2,-2,-1.96,51.0,1.0,0
55,Abigail Thomas,3,-153,-100.0,51.0,1.0,0
56,Abigail Wilson,13,-163,-24.59,51.0,1.625,0
57,Abigail Wise,3,-53,-34.64,51.0,1.0,0
58,Abigail Wolfe,25,225,17.65,51.0,1.7857142857142858,0
59,Adam Andrade,24,-224,-18.3,51.0,6.0,0
60,Adam Bennett,1,-51,-100.0,51.0,1.0,0
61,Adam Carney,1,-51,-100.0,51.0,1.0,0
62,Adam Castro,1,-51,-100.0,51.0,1.0,0
63,Adam Cervantes,20,-20,-1.96,51.0,10.0,0
64,Adam Conner,13,37,5.58,51.0,2.6,0
65,Adam Davis,12,88,14.38,51.0,2.0,0
66,Adam Estrada,12,-112,-18.3,51.0,6.0,0
67,Adam Fernandez,1,49,96.08,51.0,1.0,0
68,Adam Fitzgerald,5,-55,-21.57,51.0,1.0,0
69,Adam Fletcher,2,-2,-1.96,51.0,2.0,0
70,Adam Francis,1,-51,-100.0,51.0,1.0,0
71,Adam Garcia,1,-51,-100.0,51.0,1.0,0
72,Adam Gonzalez,164,-1264,-15.11,51.0,2.6031746031746033,0
73,Adam Gray,1,-51,-100.0,51.0,1.0,0
74,Adam Hall,1,49,96.08,51.0,1.0,0
75,Adam Haynes,3,47,30.72,51.0,1.0,0
76,Adam Hester DDS,1,49,96.08,51.0,1.0,0
77,Adam Hunter,2,-102,-100.0,51.0,2.0,0
78,Adam Jenkins,3,47,30.72,51.0,1.5,0
79,Adam Johnson,27,-477,-34.64,51.0,1.0,0
80,Adam Kim,1,-51,-100.0,51.0,1.0,0
81,Adam Lopez,1,-51,-100.0,51.0,1.0,0
82,Adam Lozano,10,-110,-21.57,51.0,1.4285714285714286,0
83,Adam Macias,15,-165,-21.57,51.0,3.0,0
84,Adam Maddox,6,-6,-1.96,51.0,1.2,0
85,Adam Mcintosh,1,-51,-100.0,51.0,1.0,0
86,Adam Mendoza,14,286,40.06,51.0,2.0,0
87,Adam Mitchell,5,45,17.65,51.0,1.25,0
88,Adam Montgomery,8,-8,-1.96,51.0,4.0,0
89,Adam Morris,1,-51,-100.0,51.0,1.0,0
90,Adam Nichols,10,90,17.65,51.0,10.0,0
91,Adam Ochoa,114,-414,-7.12,51.0,4.56,0
92,Adam Orozco,37,-87,-4.61,51.0,4.111111111111111,0
93,Adam Park,5,-255,-100.0,51.0,1.0,0
94,Adam Parker,2,-2,-1.96,51.0,1.0,0
95,Adam Patel,31,219,13.85,51.0,10.333333333333334,0
96,Adam Paul,1,-51,-100.0,51.0,1.0,0
97,Adam Payne,1,-51,-100.0,51.0,1.0,0
98,Adam Peterson,2,98,96.08,51.0,1.0,0
99,Adam Randolph,12,-12,-1.96,51.0,1.2,0
100,Adam Reed,1,49,96.08,51.0,1.0,0
101,Adam Rogers,44,256,11.41,51.0,1.4666666666666666,0
102,Adam Ryan,1,-51,-100.0,51.0,1.0,0
103,Adam Sandoval,1,-51,-100.0,51.0,1.0,0
104,Adam Sims Jr.,1,-51,-100.0,51.0,1.0,0
105,Adam Singleton,1,-51,-100.0,51.0,1.0,0
106,Adam Smith,2,-2,-1.96,51.0,1.0,0
107,Adam Stafford,1,-51,-100.0,51.0,1.0,0
108,Adam Taylor,12,-12,-1.96,51.0,2.4,0
109,Adam Villarreal,9,-159,-34.64,51.0,3.0,0
110,Adam Watts,1,49,96.08,51.0,1.0,0
111,Adam Welch,5,-55,-21.57,51.0,2.5,0
112,Adam Williams,26,74,5.58,51.0,2.6,0
113,Adam Young,23,-373,-31.8,51.0,2.3,0
114,Adrian Barker,1,-51,-100.0,51.0,1.0,0
115,Adrian Blair,2,-102,-100.0,51.0,1.0,0
116,Adrian Brown,1,-51,-100.0,51.0,1.0,0
117,Adrian Evans,1,-51,-100.0,51.0,1.0,0
118,Adrian Flores,6,-106,-34.64,51.0,3.0,0
119,Adrian Frank,3,-53,-34.64,51.0,1.0,0
120,Adrian Green,6,-206,-67.32,51.0,1.5,0
121,Adrian Howard,1,-51,-100.0,51.0,1.0,0
122,Adrian Hudson,71,-621,-17.15,51.0,3.0869565217391304,0
123,Adrian Mitchell,9,-59,-12.85,51.0,4.5,0
124,Adrian Moore,82,-82,-1.96,51.0,2.9285714285714284,0
125,Adrian Navarro,1,49,96.08,51.0,1.0,0
126,Adrian Sanchez,7,-157,-43.98,51.0,1.4,0
127,Adrian Simon,1,-51,-100.0,51.0,1.0,0
128,Adrian Williams,2,-2,-1.96,51.0,1.0,0
129,Adrian Wilson,2,98,96.08,51.0,1.0,0
130,Adriana Garcia DDS,4,-4,-1.96,51.0,4.0,0
131,Adriana Hernandez,1,-51,-100.0,51.0,1.0,0
132,Adriana Watson,11,-161,-28.7,51.0,1.375,0
133,Adrienne Leonard,1,49,96.08,51.0,1.0,0
134,Adrienne Lynch,3,47,30.72,51.0,1.5,0
135,Adrienne Scott,3,47,30.72,51.0,1.0,0
136,Aimee Delgado,15,335,43.79,51.0,5.0,0
137,Aimee Fitzpatrick,3,-53,-34.64,51.0,1.5,0
138,Alan Andrews,74,-574,-15.21,51.0,1.608695652173913,0
139,Alan Brown,1,-51,-100.0,51.0,1.0,0
140,Alan Bryant,4,-104,-50.98,51.0,2.0,0
141,Alan Downs,90,-990,-21.57,51.0,1.9148936170212767,0
142,Alan Gillespie,1,-51,-100.0,51.0,1.0,0
143,Alan Herman,3,47,30.72,51.0,3.0,0
144,Alan Hernandez,4,-204,-100.0,51.0,2.0,0
145,Alan Johnson,37,-387,-20.51,51.0,1.4230769230769231,0
146,Alan Jones,2,-102,-100.0,51.0,1.0,0
147,Alan Juarez,2,-2,-1.96,51.0,1.0,0
148,Alan Madden,63,387,12.04,51.0,1.5365853658536586,0
149,Alan Phillips,45,-595,-25.93,51.0,2.25,0
150,Alan Raymond,1,-51,-100.0,51.0,1.0,0
151,Alan Reid,19,-69,-7.12,51.0,1.9,0
152,Alan Shah,1,49,96.08,51.0,1.0,0
153,Alan Stevens,14,-114,-15.97,51.0,7.0,0
154,Alan Stone,1,-51,-100.0,51.0,1.0,0
155,Alan Villarreal,3,-53,-34.64,51.0,1.0,0
156,Alan Williams,5,45,17.65,51.0,1.6666666666666667,0
157,Albert Buchanan,18,-118,-12.85,51.0,6.0,0
158,Albert Clark,3,-153,-100.0,51.0,3.0,0
159,Albert Drake,2,-2,-1.96,51.0,1.0,0
160,Albert Garza,1,49,96.08,51.0,1.0,0
161,Albert Green,1,49,96.08,51.0,1.0,0
162,Albert Jackson,5,45,17.65,51.0,2.5,0
163,Albert Mcneil,3,-53,-34.64,51.0,1.5,0
164,Albert Miller,7,-57,-15.97,51.0,7.0,0
165,Albert Moreno,15,-65,-8.5,51.0,2.5,0
166,Albert Ortiz,1,-51,-100.0,51.0,1.0,0
167,Albert Patterson,2,-102,-100.0,51.0,1.0,0
168,Albert Shepard,1,49,96.08,51.0,1.0,0
169,Albert Thomas,5,-55,-21.57,51.0,1.25,0
170,Alec Garza,13,-63,-9.5,51.0,1.625,0
171,Alec Payne,27,-377,-27.38,51.0,2.4545454545454546,0
172,Alejandra Caldwell,11,-61,-10.87,51.0,11.0,0
173,Alejandra Duran,29,21,1.42,51.0,1.45,0
174,Alejandra Edwards,1,-51,-100.0,51.0,1.0,0
175,Alejandra Evans,4,-4,-1.96,51.0,1.3333333333333333,0
176,Alejandro Foster,1,49,96.08,51.0,1.0,0
177,Alejandro Gillespie,13,-163,-24.59,51.0,1.4444444444444444,0
178,Alejandro Mitchell,13,-163,-24.59,51.0,1.625,0
179,Alejandro Nunez,2,-2,-1.96,51.0,2.0,0
180,Alejandro Rivera,25,-75,-5.88,51.0,3.125,0
181,Alejandro Shah,1,49,96.08,51.0,1.0,0
182,Alejandro Waters,3,-53,-34.64,51.0,3.0,0
183,Alex Berry,1,-51,-100.0,51.0,1.0,0
184,Alex Charles,3,-53,-34.64,51.0,3.0,0
185,Alex Davis,2,-102,-100.0,51.0,2.0,0
186,Alex Figueroa,11,-61,-10.87,51.0,1.1,0
187,Alex Flores,2,-2,-1.96,51.0,2.0,0
188,Alex Green,1,49,96.08,51.0,1.0,0
189,Alex Hutchinson,78,122,3.07,51.0,1.6956521739130435,0
190,Alex Lucero,315,-1065,-6.63,51.0,15.0,0
191,Alex Martin,1,-51,-100.0,51.0,1.0,0
192,Alex Montoya,1,-51,-100.0,51.0,1.0,0
193,Alex Morgan,3,47,30.72,51.0,1.0,0
194,Alex Norris,2,-102,-100.0,51.0,2.0,0
195,Alex Patel,4,-104,-50.98,51.0,4.0,0
196,Alex Pope,2,-2,-1.96,51.0,1.0,0
197,Alex Smith,33,-583,-34.64,51.0,3.0,0
198,Alex Thompson,11,139,24.78,51.0,1.1,0
199,Alex Vega,1,-51,-100.0,51.0,1.0,0
200,Alexa Collins,1,49,96.08,51.0,1.0,0
201,Alexa Garcia,1,-51,-100.0,51.0,1.0,0
202,Alexa Mueller,2,-2,-1.96,51.0,1.0,0
203,Alexa Nichols,55,-905,-32.26,51.0,5.0,0
204,Alexa Rodriguez,16,84,10.29,51.0,2.2857142857142856,0
205,Alexa Skinner,1,49,96.08,51.0,1.0,0
206,Alexa Smith,25,-175,-13.73,51.0,2.272727272727273,0
207,Alexa Tanner,10,-110,-21.57,51.0,5.0,0
208,Alexander Allen,20,-20,-1.96,51.0,1.5384615384615385,0
209,Alexander Barrett,2,-2,-1.96,51.0,2.0,0
210,Alexander Bernard,21,-271,-25.3,51.0,1.105263157894737,0
211,Alexander Brown,1,49,96.08,51.0,1.0,0
212,Alexander Burns,5,-255,-100.0,51.0,1.25,0
213,Alexander Campbell,1,-51,-100.0,51.0,1.0,0
214,Alexander Casey MD,1,-51,-100.0,51.0,1.0,0
215,Alexander Conway,13,-63,-9.5,51.0,13.0,0
216,Alexander Cooper,11,39,6.95,51.0,3.6666666666666665,0
217,Alexander Delacruz,9,-159,-34.64,51.0,1.125,0
218,Alexander Dudley,1,-51,-100.0,51.0,1.0,0
219,Alexander Ellis,2,-102,-100.0,51.0,2.0,0
220,Alexander Fuentes,1,-51,-100.0,51.0,1.0,0
221,Alexander Gonzalez,2,-102,-100.0,51.0,1.0,0
222,Alexander Hanson,62,-62,-1.96,51.0,3.1,0
223,Alexander Henderson,1,-51,-100.0,51.0,1.0,0
224,Alexander Henry,23,-73,-6.22,51.0,1.2105263157894737,0
225,Alexander Hicks,1,49,96.08,51.0,1.0,0
226,Alexander Hicks Jr.,21,129,12.04,51.0,7.0,0
227,Alexander Hoffman DDS,35,-285,-15.97,51.0,1.8421052631578947,0
228,Alexander Lopez,5,-55,-21.57,51.0,1.6666666666666667,0
229,Alexander Marks,23,-273,-23.27,51.0,2.3,0
230,Alexander Mata,1,49,96.08,51.0,1.0,0
231,Alexander Mcmillan,81,-231,-5.59,51.0,3.0,0
232,Alexander Miller,1,-51,-100.0,51.0,1.0,0
233,Alexander Nguyen,1,-51,-100.0,51.0,1.0,0
234,Alexander Pena,2,-102,-100.0,51.0,1.0,0
235,Alexander Ramsey,4,-4,-1.96,51.0,4.0,0
236,Alexander Rich,3,47,30.72,51.0,1.0,0
237,Alexander Roberts,2,98,96.08,51.0,1.0,0
238,Alexander Rodgers,1,-51,-100.0,51.0,1.0,0
239,Alexander Rodriguez,41,-291,-13.92,51.0,1.3666666666666667,0
240,Alexander Sanchez,17,33,3.81,51.0,5.666666666666667,0
241,Alexander Simmons,89,-239,-5.27,51.0,2.1707317073170733,0
242,Alexander Stuart,2,-102,-100.0,51.0,2.0,0
243,Alexander Taylor,1,49,96.08,51.0,1.0,0
244,Alexander Thomas,4,-4,-1.96,51.0,1.3333333333333333,0
245,Alexander Villanueva,2,98,96.08,51.0,1.0,0
246,Alexander Walker,1,-51,-100.0,51.0,1.0,0
247,Alexandra Anderson,1,-51,-100.0,51.0,1.0,0
248,Alexandra Bennett,2,-2,-1.96,51.0,1.0,0
249,Alexandra Berg,3,147,96.08,51.0,3.0,0
250,Alexandra Brooks,12,-12,-1.96,51.0,4.0,0
251,Alexandra Brown,16,84,10.29,51.0,1.6,0
252,Alexandra Campbell,16,84,10.29,51.0,1.4545454545454546,0
253,Alexandra Cardenas,4,-104,-50.98,51.0,4.0,0
254,Alexandra Castro,4,-4,-1.96,51.0,2.0,0
255,Alexandra Davidson,2,-2,-1.96,51.0,1.0,0
256,Alexandra Davis,39,-389,-19.56,51.0,3.25,0
257,Alexandra Fry,1,-51,-100.0,51.0,1.0,0
258,Alexandra Green,1,-51,-100.0,51.0,1.0,0
259,Alexandra Harris,1,-51,-100.0,51.0,1.0,0
260,Alexandra Jackson,7,43,12.04,51.0,7.0,0
261,Alexandra Lewis,5,-155,-60.78,51.0,1.25,0
262,Alexandra Marsh,29,-579,-39.15,51.0,2.6363636363636362,0
263,Alexandra Mckay,2,-2,-1.96,51.0,1.0,0
264,Alexandra Neal,12,-412,-67.32,51.0,1.5,0
265,Alexandra Nunez,1,-51,-100.0,51.0,1.0,0
266,Alexandra Peterson,6,94,30.72,51.0,3.0,0
267,Alexandra Pitts,1,-51,-100.0,51.0,1.0,0
268,Alexandra Quinn,1,-51,-100.0,51.0,1.0,0
269,Alexandra Rosario DDS,44,156,6.95,51.0,1.4193548387096775,0
270,Alexandra Rowland,51,-501,-19.26,51.0,3.1875,0
271,Alexandra Smith,1,-51,-100.0,51.0,1.0,0
272,Alexandra Snyder,4,-4,-1.96,51.0,1.3333333333333333,0
273,Alexandra Stevens,21,-171,-15.97,51.0,3.5,0
274,Alexandra Taylor,1,-51,-100.0,51.0,1.0,0
275,Alexandra Thomas,5,45,17.65,51.0,1.0,0
276,Alexandra Torres,1,-51,-100.0,51.0,1.0,0
277,Alexandra Weaver,1,-51,-100.0,51.0,1.0,0
278,Alexandria Brown,1,-51,-100.0,51.0,1.0,0
279,Alexandria Bryan,6,-106,-34.64,51.0,3.0,0
280,Alexandria Carr,1,49,96.08,51.0,1.0,0
281,Alexandria Chen,25,25,1.96,51.0,3.5714285714285716,0
282,Alexandria Collins,3,-53,-34.64,51.0,3.0,0
283,Alexandria Cortez,13,-363,-54.75,51.0,1.4444444444444444,0
284,Alexandria Estrada,7,43,12.04,51.0,2.3333333333333335,0
285,Alexandria Hill,1,-51,-100.0,51.0,1.0,0
286,Alexandria Mosley,3,-53,-34.64,51.0,3.0,0
287,Alexandria Rodriguez,1,-51,-100.0,51.0,1.0,0
288,Alexandria Ward DDS,10,-10,-1.96,51.0,2.0,0
289,Alexis Baker,20,-220,-21.57,51.0,1.1764705882352942,0
290,Alexis Beasley,1,-51,-100.0,51.0,1.0,0
291,Alexis Bryan,35,-285,-15.97,51.0,1.9444444444444444,0
292,Alexis Clark,2,-2,-1.96,51.0,2.0,0
293,Alexis Cohen,3,-53,-34.64,51.0,3.0,0
294,Alexis Davis,1,49,96.08,51.0,1.0,0
295,Alexis Evans,1,-51,-100.0,51.0,1.0,0
296,Alexis Fisher,44,-644,-28.7,51.0,2.75,0
297,Alexis Gibson,13,37,5.58,51.0,1.625,0
298,Alexis Hall,662,-1562,-4.63,51.0,7.6976744186046515,0
299,Alexis Hardin,2,-102,-100.0,51.0,1.0,0
300,Alexis Hoover,6,-6,-1.96,51.0,3.0,0
301,Alexis Johnson,1,49,96.08,51.0,1.0,0
302,Alexis Juarez,8,-8,-1.96,51.0,2.6666666666666665,0
303,Alexis Kaufman,1,-51,-100.0,51.0,1.0,0
304,Alexis Kline,2,-2,-1.96,51.0,1.0,0
305,Alexis Krause,1,-51,-100.0,51.0,1.0,0
306,Alexis Lopez,30,-230,-15.03,51.0,1.2,0
307,Alexis Mcconnell,20,-220,-21.57,51.0,1.6666666666666667,0
308,Alexis Murray,1,49,96.08,51.0,1.0,0
309,Alexis Ruiz,1,-51,-100.0,51.0,1.0,0
310,Alexis Schneider,6,-106,-34.64,51.0,3.0,0
311,Alexis Schwartz,2,-102,-100.0,51.0,1.0,0
312,Alexis Velazquez,201,49,0.48,51.0,5.583333333333333,0
313,Alexis Watson,5,45,17.65,51.0,2.5,0
314,Alfred Buck,32,-132,-8.09,51.0,8.0,0
315,Alfred Clark,25,225,17.65,51.0,4.166666666666667,0
316,Alfred Garcia,6,94,30.72,51.0,2.0,0
317,Alfred Thomas,1,-51,-100.0,51.0,1.0,0
318,Alice Barnes,2,-102,-100.0,51.0,2.0,0
319,Alice Bradley,2,-2,-1.96,51.0,2.0,0
320,Alice Hart,28,72,5.04,51.0,3.5,0
321,Alice Kelly,6,-6,-1.96,51.0,1.2,0
322,Alicia Alexander,1,-51,-100.0,51.0,1.0,0
323,Alicia Banks,1,49,96.08,51.0,1.0,0
324,Alicia Bolton,7,43,12.04,51.0,2.3333333333333335,0
325,Alicia Boyer,1,-51,-100.0,51.0,1.0,0
326,Alicia Burton,19,131,13.52,51.0,1.2666666666666666,0
327,Alicia Clarke,3,47,30.72,51.0,1.0,0
328,Alicia Decker,1,-51,-100.0,51.0,1.0,0
329,Alicia Freeman,1,-51,-100.0,51.0,1.0,0
330,Alicia Hall,14,-214,-29.97,51.0,2.0,0
331,Alicia Hamilton,2,98,96.08,51.0,1.0,0
332,Alicia Hernandez,15,-465,-60.78,51.0,3.75,0
333,Alicia Holland,9,-159,-34.64,51.0,1.2857142857142858,0
334,Alicia Howard,5,-55,-21.57,51.0,1.6666666666666667,0
335,Alicia Mack,485,-2035,-8.23,51.0,3.2119205298013247,0
336,Alicia Nelson,3,-53,-34.64,51.0,3.0,0
337,Alicia Russo,1,49,96.08,51.0,1.0,0
338,Alicia Scott,1,-51,-100.0,51.0,1.0,0
339,Alicia Sims,2,-102,-100.0,51.0,1.0,0
340,Alicia Small,1,-51,-100.0,51.0,1.0,0
341,Alicia Stephens,1,49,96.08,51.0,1.0,0
342,Alicia Strong,2,98,96.08,51.0,2.0,0
343,Alicia Taylor,3,-53,-34.64,51.0,1.0,0
344,Alicia Thompson,3,47,30.72,51.0,1.5,0
345,Alicia Williams,4,-4,-1.96,51.0,1.0,0
346,Alicia Wright,1,-51,-100.0,51.0,1.0,0
347,Alisha Frank,17,-367,-42.33,51.0,1.4166666666666667,0
348,Alisha Klein,1,49,96.08,51.0,1.0,0
349,Alisha Mullins,4,-4,-1.96,51.0,2.0,0
350,Alisha Phillips,11,239,42.6,51.0,3.6666666666666665,0
351,Alison Carr,1,-51,-100.0,51.0,1.0,0
352,Alison Griffin,2,-102,-100.0,51.0,2.0,0
353,Alison Hawkins,1,49,96.08,51.0,1.0,0
354,Alison Ingram,1,-51,-100.0,51.0,1.0,0
355,Alison Mason,1,-51,-100.0,51.0,1.0,0
356,Alison Montoya,2,-2,-1.96,51.0,2.0,0
357,Alison Morgan,7,-157,-43.98,51.0,1.4,0
358,Alison Reynolds,6,-206,-67.32,51.0,1.2,0
359,Alison Sanders,2,-102,-100.0,51.0,1.0,0
360,Alison Santos,1,49,96.08,51.0,1.0,0
361,Alison Velazquez,8,-8,-1.96,51.0,4.0,0
362,Alison Walker,2,-102,-100.0,51.0,1.0,0
363,Alison York,1,-51,-100.0,51.0,1.0,0
364,Allen Bell,2,98,96.08,51.0,1.0,0
365,Allen Crawford,2,-102,-100.0,51.0,2.0,0
366,Allen Gilmore,1,-51,-100.0,51.0,1.0,0
367,Allen Hardin,11,139,24.78,51.0,2.2,0
368,Allen Leonard,3,-53,-34.64,51.0,3.0,0
369,Allen Mercado,1,-51,-100.0,51.0,1.0,0
370,Allen Murphy,5,45,17.65,51.0,1.6666666666666667,0
371,Allen Rodriguez,15,-265,-34.64,51.0,3.75,0
372,Allen Stark,1,-51,-100.0,51.0,1.0,0
373,Allen Wright,1,49,96.08,51.0,1.0,0
374,Allison Bailey,1,49,96.08,51.0,1.0,0
375,Allison Barnett,2,98,96.08,51.0,1.0,0
376,Allison Berry,3,-53,-34.64,51.0,1.5,0
377,Allison Brown,3,-53,-34.64,51.0,1.5,0
378,Allison Burgess,3,147,96.08,51.0,1.5,0
379,Allison Caldwell,2,-2,-1.96,51.0,1.0,0
380,Allison Carlson,1,-51,-100.0,51.0,1.0,0
381,Allison Carr,6,-106,-34.64,51.0,3.0,0
382,Allison Castro,7,-57,-15.97,51.0,3.5,0
383,Allison Chase,2,-102,-100.0,51.0,1.0,0
384,Allison Chen,20,-120,-11.76,51.0,2.857142857142857,0
385,Allison Downs,1,49,96.08,51.0,1.0,0
386,Allison Flores,1,-51,-100.0,51.0,1.0,0
387,Allison Howell,5,-55,-21.57,51.0,2.5,0
388,Allison Jones,1,49,96.08,51.0,1.0,0
389,Allison Livingston,1,-51,-100.0,51.0,1.0,0
390,Allison Lopez,65,-115,-3.47,51.0,5.416666666666667,0
391,Allison Mcintyre,3,47,30.72,51.0,1.5,0
392,Allison Moore,40,-240,-11.76,51.0,3.6363636363636362,0
393,Allison Nelson,1,49,96.08,51.0,1.0,0
394,Allison Reed,3,-53,-34.64,51.0,1.0,0
395,Allison Rodriguez,87,-137,-3.09,51.0,2.9,0
396,Allison Silva,3,-53,-34.64,51.0,1.5,0
397,Allison Simmons,10,-210,-41.18,51.0,1.6666666666666667,0
398,Allison Smith,10,-410,-80.39,51.0,1.6666666666666667,0
399,Allison Taylor,1,-51,-100.0,51.0,1.0,0
400,Allison Terrell,2,-2,-1.96,51.0,2.0,0
401,Allison Thomas,2,-2,-1.96,51.0,1.0,0
402,Allison Walls,7,43,12.04,51.0,1.75,0
403,Allison Webb,2,-2,-1.96,51.0,1.0,0
404,Alvin Torres,1,-51,-100.0,51.0,1.0,0
405,Alyssa Anderson,15,235,30.72,51.0,3.75,0
406,Alyssa Boyd,2,-2,-1.96,51.0,1.0,0
407,Alyssa Cantu,3,-53,-34.64,51.0,1.0,0
408,Alyssa Carey,2,-2,-1.96,51.0,1.0,0
409,Alyssa Castillo,3,47,30.72,51.0,1.0,0
410,Alyssa Davis,1,-51,-100.0,51.0,1.0,0
411,Alyssa Farrell,5,45,17.65,51.0,1.6666666666666667,0
412,Alyssa Gilbert,1,-51,-100.0,51.0,1.0,0
413,Alyssa Guzman,2,-102,-100.0,51.0,1.0,0
414,Alyssa Hall,1,49,96.08,51.0,1.0,0
415,Alyssa Hicks,2,-2,-1.96,51.0,2.0,0
416,Alyssa Hill,1,-51,-100.0,51.0,1.0,0
417,Alyssa Huerta,1128,-328,-0.57,51.0,7.779310344827586,1
418,Alyssa Lane,1,-51,-100.0,51.0,1.0,0
419,Alyssa Matthews,2,-102,-100.0,51.0,1.0,0
420,Alyssa Mcdonald,1,49,96.08,51.0,1.0,0
421,Alyssa Miller MD,2,-2,-1.96,51.0,1.0,0
422,Alyssa Moran,1,-51,-100.0,51.0,1.0,0
423,Alyssa Morris,1,-51,-100.0,51.0,1.0,0
424,Alyssa Parsons,25,-175,-13.73,51.0,6.25,0
425,Alyssa Powers,3,-53,-34.64,51.0,3.0,0
426,Alyssa Price,1,-51,-100.0,51.0,1.0,0
427,Alyssa Pugh,2,-102,-100.0,51.0,1.0,0
428,Alyssa Robinson,3,47,30.72,51.0,1.5,0
429,Alyssa Rodriguez,1,49,96.08,51.0,1.0,0
430,Alyssa Russell,1,-51,-100.0,51.0,1.0,0
431,Alyssa Smith,1,-51,-100.0,51.0,1.0,0
432,Alyssa Strickland,1,49,96.08,51.0,1.0,0
433,Alyssa Thomas,5,-55,-21.57,51.0,5.0,0
434,Alyssa Thompson,10,90,17.65,51.0,1.25,0
435,Alyssa Wallace,61,-1011,-32.5,51.0,3.588235294117647,0
436,Alyssa Williams,25,25,1.96,51.0,1.6666666666666667,0
437,Amanda Adams,2,-2,-1.96,51.0,2.0,0
438,Amanda Anderson,3,47,30.72,51.0,3.0,0
439,Amanda Brown,5,45,17.65,51.0,5.0,0
440,Amanda Byrd,6,94,30.72,51.0,1.5,0
441,Amanda Camacho,1,49,96.08,51.0,1.0,0
442,Amanda Campbell,3,-53,-34.64,51.0,1.0,0
443,Amanda Castro,5,45,17.65,51.0,1.6666666666666667,0
444,Amanda Chavez,2,98,96.08,51.0,2.0,0
445,Amanda Clark,10,-210,-41.18,51.0,5.0,0
446,Amanda Cox,1,-51,-100.0,51.0,1.0,0
447,Amanda Cruz,9,-159,-34.64,51.0,4.5,0
448,Amanda Cummings,4,-104,-50.98,51.0,2.0,0
449,Amanda Davies,3,-53,-34.64,51.0,3.0,0
